Season,Team,Owner,Player Name,Position,NFL Team,,,,,,,,,
2012,Team McFarland,Ken,Tim Tebow,QB,NYJ,,,,,,,,,
2012,Eat The Sandwich,Spencer,Cam Newton,QB,CAR,,,,,,,,,
2012,Salsa Dancing,Tom,Robert Griffin III,QB,WAS,,,,,,,,,
2012,Gotham City Rogues,Dan,Tom Brady,QB,NE,,,,,,,,,
2012,The Elite Eli's,Gavin,Aaron Rodgers,QB,GB,,,,,,,,,
2012,Rapid City Monuments,TSizz,Drew Brees,QB,NO,,,,,,,,,
2012,The Thirteenth District,James,Matthew Stafford,QB,DET,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Philip Rivers,QB,LAC,,,,,,,,,
2012,Team No College Yet,Dylan,Michael Vick,QB,PHI,,,,,,,,,
2012,Team Charles,Charles,Eli Manning,QB,NYG,,,,,,,,,
2012,Best Served Hot,Ed,Tony Romo,QB,DAL,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Joe Flacco,QB,BAL,,,,,,,,,
2012,Team McFarland,Ken,Arian Foster,RB,HOU,,,,,,,,,
2012,Eat The Sandwich,Spencer,Matt Forte,RB,DAL,,,,,,,,,
2012,Salsa Dancing,Tom,Marshawn Lynch,RB,SEA,,,,,,,,,
2012,Gotham City Rogues,Dan,Darren McFadden,RB,LV,,,,,,,,,
2012,The Elite Eli's,Gavin,Frank Gore,RB,SF,,,,,,,,,
2012,Rapid City Monuments,TSizz,DeMarco Murray,RB,DAL,,,,,,,,,
2012,The Thirteenth District,James,CJ Spiller,RB,BUF,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Mark Ingram,RB,NO,,,,,,,,,
2012,Team No College Yet,Dylan,Fred Jackson,RB,BUF,,,,,,,,,
2012,Team Charles,Charles,Chris Johnson,RB,TEN,,,,,,,,,
2012,Best Served Hot,Ed,Ray RIce,RB,BAL,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,LeSean McCoy,RB,PHI,,,,,,,,,
2012,Team McFarland,Ken,Ahmad Bradshaw,RB,NYG,,,,,,,,,
2012,Eat The Sandwich,Spencer,Mikel Leshoure,RB,DET,,,,,,,,,
2012,Salsa Dancing,Tom,Doug Martin,RB,TB,,,,,,,,,
2012,Gotham City Rogues,Dan,Vick Ballard,RB,IND,,,,,,,,,
2012,The Elite Eli's,Gavin,Shonn Greene,RB,NYJ,,,,,,,,,
2012,Rapid City Monuments,TSizz,Jackie Battle,RB,LAC,,,,,,,,,
2012,The Thirteenth District,James,Trent Richardson,RB,CLE,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Bernard Pierce,RB,BAL,,,,,,,,,
2012,Team No College Yet,Dylan,Jonathan Stewart,RB,CAR,,,,,,,,,
2012,Team Charles,Charles,Michael Turner,RB,ATL,,,,,,,,,
2012,Best Served Hot,Ed,Adrian Peterson,RB,MIN,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Alfred Morris,RB,WAS,,,,,,,,,
2012,Team McFarland,Ken,Zach Brown,RB,BUF,,,,,,,,,
2012,Eat The Sandwich,Spencer,Darren Sproles,RB,NO,,,,,,,,,
2012,Salsa Dancing,Tom,Antonio Brown,WR,PIT,,,,,,,,,
2012,Gotham City Rogues,Dan,Santana Moss,WR,WAS,,,,,,,,,
2012,The Elite Eli's,Gavin,Vincent Jackson,WR,TB,,,,,,,,,
2012,Rapid City Monuments,TSizz,Anquan Boldin,WR,BAL,,,,,,,,,
2012,The Thirteenth District,James,Steven Jackson,RB,LAR,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Calvin Johnson,WR,DET,,,,,,,,,
2012,Team No College Yet,Dylan,Stevan Ridley,RB,NE,,,,,,,,,
2012,Team Charles,Charles,Reggie Bush,RB,MIA,,,,,,,,,
2012,Best Served Hot,Ed,Jamaal Charles,RB,KC,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Denarius Moore,WR,LV,,,,,,,,,
2012,Team McFarland,Ken,Victor Cruz,WR,NYG,,,,,,,,,
2012,Eat The Sandwich,Spencer,Demaryius Thomas,WR,DEN,,,,,,,,,
2012,Salsa Dancing,Tom,Brandon Marshall,WR,DAL,,,,,,,,,
2012,Gotham City Rogues,Dan,Wes Welker,WR,NE,,,,,,,,,
2012,The Elite Eli's,Gavin,Mike Wallace,WR,PIT,,,,,,,,,
2012,Rapid City Monuments,TSizz,Julio Jones,WR,ATL,,,,,,,,,
2012,The Thirteenth District,James,Jordy Nelson,WR,GB,,,,,,,,,
