year,week,team,team_owner,team_score,opponent,opponent_owner,opponent_score,result,is_playoff,bracket_type,playoff_round,team_seed,opponent_seed
2012,1,Salsa Dancing,Tom,141.00,Gotham City Rogues,Dan,115.00,WIN,FALSE,,,,
2012,1,Former ShepaugTeacher,Spear,163.00,The Elite Eli's,Gavin,113.00,WIN,FALSE,,,,
2012,1,Best Served Hot,Ed,137.00,The Thirteenth District,James,136.00,WIN,FALSE,,,,
2012,1,Team McFarland,Ken,72.00,Eat The Sandwich,Spencer,164.00,LOSS,FALSE,,,,
2012,1,Team No College Yet,Dylan,111.00,Wearing Sperrys Popping Cherrys,Carson,102.00,WIN,FALSE,,,,
2012,1,Team Charles,Charles,99.00,Rapid City Monuments,Tsizz,160.00,LOSS,FALSE,,,,
2012,2,Gotham City Rogues,Dan,102.00,Team McFarland,Ken,109.00,LOSS,FALSE,,,,
2012,2,The Thirteenth District,James,173.00,Eat The Sandwich,Spencer,174.00,LOSS,FALSE,,,,
2012,2,Best Served Hot,Ed,111.00,Rapid City Monuments,Tsizz,95.00,WIN,FALSE,,,,
2012,2,Salsa Dancing,Tom,122.00,Wearing Sperrys Popping Cherrys,Carson,166.00,LOSS,FALSE,,,,
2012,2,The Elite Eli's,Gavin,130.00,Former ShepaugTeacher,Spear,154.00,LOSS,FALSE,,,,
2012,2,Team Charles,Charles,127.00,Team No College Yet,Dylan,75.00,WIN,FALSE,,,,
2012,3,The Thirteenth District,James,121.00,Gotham City Rogues,Dan,141.00,LOSS,FALSE,,,,
2012,3,Team McFarland,Ken,79.00,Best Served Hot,Ed,187.00,LOSS,FALSE,,,,
2012,3,Eat The Sandwich,Spencer,111.00,Rapid City Monuments,Tsizz,90.00,WIN,FALSE,,,,
2012,3,The Elite Eli's,Gavin,106.00,Salsa Dancing,Tom,141.00,LOSS,FALSE,,,,
2012,3,Wearing Sperrys Popping Cherrys,Carson,90.00,Team Charles,Charles,113.00,LOSS,FALSE,,,,
2012,3,Former ShepaugTeacher,Spear,145.00,Team No College Yet,Dylan,94.00,WIN,FALSE,,,,
2012,4,Gotham City Rogues,Dan,164.00,Best Served Hot,Ed,116.00,WIN,FALSE,,,,
2012,4,Rapid City Monuments,Tsizz,112.00,The Thirteenth District,James,125.00,LOSS,FALSE,,,,
2012,4,Eat The Sandwich,Spencer,132.00,Team McFarland,Ken,81.00,WIN,FALSE,,,,
2012,4,Salsa Dancing,Tom,105.00,Team Charles,Charles,127.00,LOSS,FALSE,,,,
2012,4,Team No College Yet,Dylan,116.00,The Elite Eli's,Gavin,118.00,LOSS,FALSE,,,,
2012,4,Former ShepaugTeacher,Spear,130.00,Wearing Sperrys Popping Cherrys,Carson,157.00,LOSS,FALSE,,,,
2012,5,Rapid City Monuments,Tsizz,128.00,Gotham City Rogues,Dan,155.00,LOSS,FALSE,,,,
