year,team,division,division_standing,owner,wins,losses,ties,points_for,points_against,final_rank,made_playoffs,total_moves,champion,runner_up
2012,Former ShepaugTeacher,West,1,Spear,10,3,0,1690,1373,2,TRUE,28,FALSE,TRUE
2012,Gotham City Rogues,East,2,Dan,9,4,0,1678,1538,3,TRUE,16,FALSE,FALSE
2012,Eat The Sandwich,East,1,Spencer,8,5,0,1685,1425,1,TRUE,17,TRUE,FALSE
2012,Salsa Dancing,West,3,Tom,7,6,0,1763,1578,5,TRUE,18,FALSE,FALSE
2012,The Thirteenth District,East,3,James,7,5,1,1734,1637,4,FALSE,27,FALSE,FALSE
2012,The Elite Eli's,West,4,Gavin,7,6,0,1642,1599,9,FALSE,13,FALSE,FALSE
2012,Best Served Hot,East,4,Ed,7,6,0,1590,1622,6,FALSE,6,FALSE,FALSE
2012,Wearing Sperrys Popping Cherrys,West,2,Carson,7,5,1,1503,1388,7,FALSE,5,FALSE,FALSE
2012,Team Charles,West,5,Charles,6,7,0,1315,1432,8,FALSE,1,FALSE,FALSE
2012,Team No College Yet,West,6,Dylan,5,8,0,1249,1402,11,FALSE,0,FALSE,FALSE
2012,Rapid City Monuments,East,5,TSizz,2,11,0,1346,1494,10,FALSE,17,FALSE,FALSE
2012,Team McFarland,East,6,Ken,2,11,0,916,1623,12,FALSE,0,FALSE,FALSE
2013,Rapid City Monuments,East,1,TSizz,10,3,0,1806.3,1650.6,3,TRUE,15,FALSE,FALSE
2013,Eat The Sandwich,East,2,Spencer,8,5,0,1747.4,1522.4,1,TRUE,10,TRUE,FALSE
2013,Wearing Sperrys Popping Cherrys,West,1,Carson,8,5,0,1739.1,1538.3,4,TRUE,4,FALSE,FALSE
2013,Gotham City Rogues,East,3,Dan,7,6,0,1599,1603.1,2,TRUE,27,FALSE,TRUE
2013,Best Served Hot,East,4,Ed,7,6,0,1584,1549.6,6,FALSE,2,FALSE,FALSE
2013,Former ShepaugTeacher,West,2,Spear,7,6,0,1492.7,1550,7,FALSE,0,FALSE,FALSE
2013,The Thirteenth District,East,5,James,6,7,0,1712.2,1710.7,5,FALSE,35,FALSE,FALSE
2013,Salsa Dancing,West,3,Tom,6,7,0,1609.2,1593,9,FALSE,22,FALSE,FALSE
2013,Team No College Yet,West,4,Dylan,6,7,0,1586.6,1509,12,FALSE,0,FALSE,FALSE
2013,Caucasion Sasquatch,East,6,Ken,5,8,0,1534.2,1730.3,8,FALSE,55,FALSE,FALSE
2013,Team Charles,West,5,Charles,4,9,0,1568.4,1745.7,11,FALSE,9,FALSE,FALSE
2013,The Elite Eli's,West,6,Gavin,4,9,0,1443.1,1719.5,10,FALSE,15,FALSE,FALSE
2014,Paper Thin Walls,West,1,Geoff,12,1,0,1830.6,1475.7,2,TRUE,9,FALSE,TRUE
2014,Johnny Clipboards,West,2,Gavin,11,2,0,1841.4,1531.7,3,TRUE,21,FALSE,FALSE
2014,Eat The Sandwich,East,1,Spencer,9,4,0,1898.1,1647.9,1,TRUE,24,TRUE,FALSE
2014,Salsa Dancing,West,3,Tom,7,6,0,1875.3,1637,4,TRUE,29,FALSE,FALSE
2014,Gotham City Rogues,East,2,Dan,7,6,0,1659.4,1636.5,8,FALSE,44,FALSE,FALSE
2014,Team Foote Longs,West,4,Wes,6,7,0,1635.5,1591.7,6,FALSE,21,FALSE,FALSE
2014,Brookfield Brawlers,East,3,Rob,6,7,0,1471.6,1645.3,10,FALSE,22,FALSE,FALSE
2014,Two First Names,West,5,Spear,5,8,0,1597.6,1828.3,5,FALSE,40,FALSE,FALSE
2014,Caucasion Sasquatch,East,4,Ken,5,8,0,1560.4,1643,7,FALSE,30,FALSE,FALSE
2014,Rapid City Monuments,East,5,TSizz,4,9,0,1536.4,1704,12,FALSE,18,FALSE,FALSE
2014,The Thirteenth District,East,6,James,3,10,0,1497.2,1789.2,11,FALSE,16,FALSE,FALSE
2014,Team Charles,West,6,Charles,3,10,0,1377.3,1650.5,9,FALSE,0,FALSE,FALSE
2015,Reverend Payne,East,1,Rob,9,4,0,1837,1688.9,2,TRUE,13,FALSE,TRUE
2015,Gotham City Rogues,East,2,Dan,8,5,0,1869.9,1611,1,TRUE,42,TRUE,FALSE
2015,The Buzzards,West,1,Tom,8,5,0,1806.7,1608.6,3,TRUE,40,FALSE,FALSE
2015,Republic City Fire Ferrets,East,3,James,8,5,0,1803,1620.6,4,TRUE,40,FALSE,FALSE
2015,Johnny Man-Zeer,West,2,Gavin,8,5,0,1779.4,1598.1,5,TRUE,24,FALSE,FALSE
2015,Eat The Sandwich,East,4,Spencer,8,5,0,1714.6,1749.8,8,TRUE,19,FALSE,FALSE
2015,Rapid City Monuments,East,5,TSizz,7,6,0,1709.1,1744.2,6,FALSE,20,FALSE,FALSE
2015,Team Foote Longs,West,3,Wes,6,7,0,1598.3,1710.9,10,FALSE,10,FALSE,FALSE
2015,AutoDrafted Scrubs,West,5,Spear,5,8,0,1723.3,1795.6,11,FALSE,17,FALSE,FALSE
2015,Threat Level Midnight,East,6,Ken,5,8,0,1560.8,1715.5,7,FALSE,31,FALSE,FALSE
2015,Paper Thin Walls,West,4,Geoff,3,10,0,1510.5,1692.6,9,FALSE,12,FALSE,FALSE
2015,LSC Stud Muffins,West,5,Dylan,3,10,0,1255.5,1632.3,12,FALSE,15,FALSE,FALSE
2016,Reverend Payne,East,1,Rob,10,4,0,2137.8,1844.6,3,TRUE,10,FALSE,FALSE
2016,LSC Stud Muffins,West,1,Dylan,8,6,0,1862.7,1826.5,1,TRUE,20,TRUE,FALSE
2016,The Phenomenal Ones,West,2,Tom,8,6,0,1822.8,1757.7,6,TRUE,22,FALSE,FALSE
2016,Nothing to see Here,East,2,Ken,8,6,0,1778.3,1778,2,TRUE,13,FALSE,TRUE
2016,Gotham City Rogues,East,3,Dan,8,6,0,1638.2,1719.9,5,TRUE,48,FALSE,FALSE
2016,Johnny Man-Zeer,West,3,Gavin,7,7,0,1801,1770.1,4,TRUE,41,FALSE,FALSE
2016,Eat The Sandwich,East,4,Spencer,7,7,0,1753.1,1734.9,8,FALSE,15,FALSE,FALSE
2016,Kirk's Sinking Enterprise,East,5,James,6,8,0,2028.8,1886.3,7,FALSE,33,FALSE,FALSE
2016,Seabass and the Fellas,West,4,Geoff,6,8,0,1845.5,1983.5,9,FALSE,8,FALSE,FALSE
2016,To Me Those BallsArePerfect,East,6,TSizz,6,8,0,1669.8,1763.8,10,FALSE,21,FALSE,FALSE
2016,WhenUrKickerIs YourBestPlayer,West,5,Spear,5,9,0,1639.3,1696.1,11,FALSE,28,FALSE,FALSE
2016,Team Foote Longs,West,6,Wes,5,9,0,1562.7,1778.6,12,FALSE,7,FALSE,FALSE
2017,Reverend Payne,East,1,Rob,10,3,0,1552.1,1424.1,2,TRUE,26,FALSE,TRUE
2017,Seabass and the Fellas,West,1,Geoff,8,5,0,1694.6,1535.4,1,TRUE,9,TRUE,FALSE
2017,Captain Kirk's Enterprise,East,2,James,8,5,0,1653.5,1559.3,5,TRUE,40,FALSE,FALSE
2017,Nothing to see Here,East,3,Ken,8,5,0,1576.8,1438,4,TRUE,18,FALSE,FALSE
2017,Abdullah OBKongata,West,2,Spear,8,5,0,1570.8,1525,6,TRUE,39,FALSE,FALSE
2017,Pray For Johnny Man-Zeer,West,3,Gavin,7,6,0,1812.8,1698.2,3,TRUE,31,FALSE,FALSE
2017,Gotham City Rogues,East,4,Dan,6,7,0,1643.7,1568.8,7,FALSE,32,FALSE,FALSE
2017,Thanks.,East,5,TSizz,5,8,0,1646.2,1773.7,10,FALSE,13,FALSE,FALSE
2017,LSC Stud Muffins,West,4,Dylan,5,8,0,1459.5,1542.9,8,FALSE,8,FALSE,FALSE
2017,Eat The Sandwich,East,6,Spencer,5,8,0,1361.3,1639.7,9,FALSE,16,FALSE,FALSE
2017,The J.O.B. Squad,West,5,Tom,4,9,0,1612.1,1734.9,12,FALSE,28,FALSE,FALSE
2017,Team Foote Longs,West,6,Wes,4,9,0,1488,1631.4,11,FALSE,14,FALSE,FALSE
2018,Team To Be Named Later,East,1,James,11,2,0,1863.5,1658,1,TRUE,47,TRUE,FALSE
2018,Reverend Payne,East,2,Rob,10,3,0,1790.8,1596.4,3,TRUE,12,FALSE,TRUE
2018,Gotham City Rogues,East,3,Dan,9,4,0,1892.4,1566.6,4,TRUE,14,FALSE,FALSE
2018,The Comeback of Johnny Man-Zeer,West,1,Gavin,8,5,0,1918.4,1824.2,2,TRUE,28,FALSE,FALSE
2018,Spock's 1995 Toyota Camry,East,4,TSizz,8,5,0,1904.7,1785.3,5,TRUE,12,FALSE,FALSE
2018,Trust The Process,West,2,Tom,7,6,0,1808.4,1718.9,6,TRUE,31,FALSE,FALSE
2018,SanchezIs MyKeeper,West,3,Spear,6,6,1,1817.2,1788.5,9,FALSE,29,FALSE,FALSE
2018,LSC Stud Muffins,West,4,Dylan,5,8,0,1449.2,1615.6,12,FALSE,15,FALSE,FALSE
2018,Ez Win 4U,East,5,Ken,4,9,0,1665.9,1717.4,11,FALSE,14,FALSE,FALSE
2018,Seabass and the Fellas,West,5,Geoff,3,9,1,1542.2,1793.9,8,FALSE,7,FALSE,FALSE
2018,Eat The Sandwich,East,6,Spencer,3,10,0,1469.3,1657.8,7,FALSE,16,FALSE,FALSE
2018,Team Foote Longs,West,6,Wes,3,10,0,1312.9,1712.3,10,FALSE,21,FALSE,FALSE
2019,Eat The Sandwich,East,1,Spencer,9,4,0,1821.6,1584.8,1,TRUE,29,TRUE,FALSE
2019,Subverted Expectations,East,2,TSizz,9,4,0,1677,1552.9,5,TRUE,17,FALSE,FALSE
2019,John Loves Dogs,East,3,James,8,5,0,1813,1614.3,3,TRUE,39,FALSE,FALSE
2019,Clutch Gene,West,1,Spear,8,5,0,1655.2,1657,2,TRUE,45,FALSE,TRUE
2019,SCOTTS TOTS,East,4,Ken,8,5,0,1419.6,1489.9,6,TRUE,40,FALSE,FALSE
2019,Victim Complexes,West,2,Wes,7,6,0,1747,1667.2,4,TRUE,16,FALSE,FALSE
2019,Trust The Process,West,3,Tom,7,6,0,1695.1,1608.9,11,FALSE,21,FALSE,FALSE
